CustomerID,CustomerName,Gender,DOB,City,State,Phone,Email
C00001,Customer_1,M,1971-02-14,Pune,Karnataka,9339670711,customer1@example.com
C00002,Customer_2,M,2003-01-14,Bangalore,Gujarat,9895285932,customer2@example.com
C00003,Customer_3,M,1996-06-27,Madurai,Tamil Nadu,9131994523,customer3@example.com
C00004,Customer_4,M,1979-10-23,Mumbai,Kerala,9746412689,customer4@example.com
C00005,Customer_5,M,1995-03-06,Mumbai,Gujarat,9797808098,customer5@example.com
C00006,Customer_6,F,1979-11-21,Ahmedabad,Kerala,9398704996,customer6@example.com
C00007,Customer_7,M,2004-01-15,Hyderabad,Gujarat,9553778756,customer7@example.com
C00008,Customer_8,F,1982-06-19,Hyderabad,Karnataka,9919795579,customer8@example.com
C00009,Customer_9,F,1974-08-02,Bangalore,Maharashtra,9203848421,customer9@example.com
C00010,Customer_10,F,2008-01-07,Kochi,Kerala,9384027113,customer10@example.com
C00011,Customer_11,M,2002-09-25,Ahmedabad,Kerala,9234031070,customer11@example.com
C00012,Customer_12,F,1973-07-15,Pune,Gujarat,9764130526,customer12@example.com
C00013,Customer_13,F,1995-11-25,Mumbai,Gujarat,9174684276,customer13@example.com
C00014,Customer_14,M,1999-08-31,Mumbai,Telangana,9185675980,customer14@example.com
C00015,Customer_15,M,2008-11-13,Bangalore,Maharashtra,9398471886,customer15@example.com
C00016,Customer_16,F,1998-07-08,Kochi,Karnataka,9497478786,customer16@example.com
C00017,Customer_17,F,1979-05-26,Pune,Gujarat,9833953718,customer17@example.com
C00018,Customer_18,M,1997-04-29,Hyderabad,Kerala,9882893941,customer18@example.com
C00019,Customer_19,M,1977-05-01,Ahmedabad,Maharashtra,9389854268,customer19@example.com
C00020,Customer_20,M,2000-09-16,Kochi,Tamil Nadu,9345938494,customer20@example.com
C00021,Customer_21,M,2006-02-10,Kochi,Maharashtra,9387484583,customer21@example.com
C00022,Customer_22,M,1979-06-19,Kochi,Karnataka,9803771909,customer22@example.com
C00023,Customer_23,F,1987-10-01,Ahmedabad,Karnataka,9384412919,customer23@example.com
C00024,Customer_24,M,1981-01-23,Pune,Gujarat,9727694430,customer24@example.com
C00025,Customer_25,F,2010-04-10,Madurai,Telangana,9335493870,customer25@example.com
C00026,Customer_26,M,1992-11-09,Ahmedabad,Tamil Nadu,9911514914,customer26@example.com
C00027,Customer_27,M,2008-08-17,Bangalore,Karnataka,9773715057,customer27@example.com
C00028,Customer_28,M,2005-07-13,Madurai,Kerala,9168212356,customer28@example.com
C00029,Customer_29,F,1987-02-13,Ahmedabad,Kerala,9369953851,customer29@example.com
C00030,Customer_30,M,2000-07-07,Bangalore,Gujarat,9676567501,customer30@example.com
C00031,Customer_31,F,2004-06-23,Kochi,Tamil Nadu,9415143362,customer31@example.com
C00032,Customer_32,F,1977-02-04,Ahmedabad,Tamil Nadu,9875340444,customer32@example.com
C00033,Customer_33,F,1992-06-15,Hyderabad,Kerala,9214257751,customer33@example.com
C00034,Customer_34,F,2007-10-03,Mumbai,Karnataka,9501486939,customer34@example.com
C00035,Customer_35,M,1994-03-13,Chennai,Kerala,9448059918,customer35@example.com
C00036,Customer_36,F,1970-11-16,Bangalore,Telangana,9992994062,customer36@example.com
C00037,Customer_37,F,1980-09-28,Chennai,Karnataka,9709194872,customer37@example.com
C00038,Customer_38,M,1973-11-04,Ahmedabad,Tamil Nadu,9916690353,customer38@example.com
C00039,Customer_39,M,1975-10-05,Ahmedabad,Kerala,9277303722,customer39@example.com
C00040,Customer_40,F,1993-09-02,Madurai,Karnataka,9679064766,customer40@example.com
C00041,Customer_41,M,2001-12-24,Pune,Maharashtra,9821218382,customer41@example.com
C00042,Customer_42,F,1989-08-26,Ahmedabad,Tamil Nadu,9366186631,customer42@example.com
C00043,Customer_43,M,1972-11-15,Kochi,Tamil Nadu,9731691672,customer43@example.com
C00044,Customer_44,M,1996-05-25,Mumbai,Tamil Nadu,9176228245,customer44@example.com
C00045,Customer_45,M,1980-04-08,Bangalore,Tamil Nadu,9454794895,customer45@example.com
C00046,Customer_46,M,1993-01-23,Mumbai,Telangana,9818309417,customer46@example.com
C00047,Customer_47,F,1979-08-12,Hyderabad,Gujarat,9713152854,customer47@example.com
C00048,Customer_48,F,1980-11-25,Ahmedabad,Maharashtra,9304451095,customer48@example.com
C00049,Customer_49,M,1974-05-08,Madurai,Telangana,9554814084,customer49@example.com
C00050,Customer_50,F,1990-12-13,Chennai,Gujarat,9801642483,customer50@example.com
C00051,Customer_51,M,1972-09-20,Madurai,Gujarat,9464323393,customer51@example.com
C00052,Customer_52,M,1981-02-25,Mumbai,Karnataka,9675832441,customer52@example.com
C00053,Customer_53,F,1976-04-15,Madurai,Karnataka,9399085574,customer53@example.com
C00054,Customer_54,F,1981-03-16,Bangalore,Maharashtra,9967607278,customer54@example.com
C00055,Customer_55,M,1972-04-08,Chennai,Tamil Nadu,9909134796,customer55@example.com
C00056,Customer_56,M,1977-06-17,Madurai,Maharashtra,9616854671,customer56@example.com
C00057,Customer_57,M,2008-10-14,Madurai,Tamil Nadu,9276777762,customer57@example.com
C00058,Customer_58,F,1970-02-05,Madurai,Telangana,9941889393,customer58@example.com
C00059,Customer_59,F,1982-10-18,Madurai,Gujarat,9884374109,customer59@example.com
C00060,Customer_60,F,1976-12-11,Mumbai,Telangana,9333754555,customer60@example.com
C00061,Customer_61,M,1995-12-25,Chennai,Gujarat,9436730606,customer61@example.com
C00062,Customer_62,M,1972-04-01,Ahmedabad,Kerala,9670292350,customer62@example.com
C00063,Customer_63,M,1972-07-20,Bangalore,Karnataka,9173574218,customer63@example.com
C00064,Customer_64,M,2000-04-15,Mumbai,Maharashtra,9228727266,customer64@example.com
C00065,Customer_65,M,1995-12-21,Chennai,Kerala,9188029013,customer65@example.com
C00066,Customer_66,F,1999-06-28,Kochi,Telangana,9319321646,customer66@example.com
C00067,Customer_67,F,1980-09-15,Pune,Maharashtra,9240529481,customer67@example.com
C00068,Customer_68,F,1990-07-06,Kochi,Tamil Nadu,9110002396,customer68@example.com
